Timestamp,Peak Value
2024-06-26 11:49:49,83
2024-06-26 12:01:22,79
2024-06-26 12:55:48,62
2024-06-27 00:33:37,85
2024-06-27 03:54:40,77
2024-06-27 05:04:45,62
2024-06-27 06:20:57,43
2024-06-27 06:55:03,39
2024-06-27 15:26:26,93
2024-06-27 15:52:50,87
2024-06-27 20:38:54,74
2024-06-28 11:30:47,89
2024-06-28 14:04:12,59
2024-06-28 14:13:17,57
2024-06-28 16:34:47,64
2024-06-28 17:29:11,49
2024-06-28 17:34:08,48
2024-06-28 17:58:54,43
2024-06-28 18:36:50,37
2024-06-29 05:25:30,82
2024-06-29 06:47:13,57
2024-06-29 17:07:55,67
2024-06-29 22:02:01,48
2024-06-30 06:06:26,89
2024-06-30 12:02:43,60
2024-06-30 12:28:17,49
2024-06-30 13:19:58,34
2024-06-30 22:30:21,83
2024-06-30 23:42:07,68
2024-07-01 01:29:49,80
2024-07-01 02:52:50,66
2024-07-01 04:23:02,48
2024-07-02 00:19:04,90
2024-07-02 02:25:49,62
2024-07-02 04:09:37,76
2024-07-02 05:05:42,64
2024-07-02 06:51:01,41
2024-07-02 15:08:58,94
2024-07-02 16:22:54,82
2024-07-02 16:27:04,81
2024-07-02 17:11:02,71
2024-07-02 22:09:52,52
2024-07-02 22:16:59,49
2024-07-02 23:03:30,37
2024-07-02 23:18:22,35
2024-07-03 00:09:26,30
